,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
44,Aguimes,ES,27.9054,-15.4461,66.83,64,75,12.66,broken clouds
45,Turiacu,BR,-1.6633,-45.3717,76.12,87,69,3.67,light rain
46,Cap Malheureux,MU,-19.9842,57.6142,72.46,76,56,3.0,broken clouds
47,Sterling,US,39.0062,-77.4286,54.46,41,40,20.71,scattered clouds
48,Nanakuli,US,21.3906,-158.1547,85.37,59,100,10.36,overcast clouds
49,Atbasar,KZ,51.8,68.3333,7.48,77,100,15.55,overcast clouds
50,Rikitea,PF,-23.1203,-134.9692,72.95,71,85,12.46,overcast clouds
51,Svetlogorsk,BY,52.6333,29.7333,18.95,94,66,6.33,broken clouds
52,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,5.75,scattered clouds
53,New Norfolk,AU,-42.7826,147.0587,56.71,53,6,1.01,clear sky
54,Kapaa,US,22.0752,-159.319,84.18,72,0,17.27,clear sky
55,Batticaloa,LK,7.7102,81.6924,77.45,83,91,0.98,overcast clouds
56,San Patricio,US,28.017,-97.5169,66.15,51,4,14.18,clear sky
57,Bredasdorp,ZA,-34.5322,20.0403,63.19,80,71,2.37,broken clouds
58,Avarua,CK,-21.2078,-159.775,80.65,78,20,18.41,few clouds
59,Severo-Kurilsk,RU,50.6789,156.125,29.7,82,58,9.98,broken clouds
60,Nelson Bay,AU,-32.7167,152.15,69.1,70,100,4.0,overcast clouds
61,Coihaique,CL,-45.5752,-72.0662,58.95,41,20,6.91,few clouds
62,Taoudenni,ML,22.6783,-3.9836,66.52,19,0,10.33,clear sky
63,Dikson,RU,73.5069,80.5464,22.42,94,100,12.28,overcast clouds
64,Kichera,RU,55.9375,110.0997,-4.76,99,100,2.75,light snow
65,Nanortalik,GL,60.1432,-45.2371,29.08,79,100,32.26,overcast clouds
66,Lebu,CL,-37.6167,-73.65,54.21,72,0,22.21,clear sky
67,Kedrovyy,RU,56.1667,91.8167,-1.79,97,60,4.38,broken clouds
68,Mayskiy,RU,47.6931,40.1025,26.01,33,18,17.81,few clouds
69,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,100,9.22,light snow
70,Vila,PT,42.0304,-8.1588,43.68,93,99,3.74,overcast clouds
71,Northam,GB,51.0333,-4.2167,42.26,87,37,7.36,scattered clouds
72,Vaini,TO,-21.2,-175.2,78.96,83,75,11.5,broken clouds
73,Luderitz,NA,-26.6481,15.1594,62.89,79,0,8.9,clear sky
74,Port Lincoln,AU,-34.7333,135.8667,61.97,69,11,13.4,few clouds
75,Nhulunbuy,AU,-12.2333,136.7667,79.41,94,100,0.0,overcast clouds
76,Kosh-Agach,RU,50.0,88.6667,-13.77,70,74,4.5,broken clouds
77,Arraial Do Cabo,BR,-22.9661,-42.0278,74.25,91,100,23.73,overcast clouds
78,Hermanus,ZA,-34.4187,19.2345,59.81,85,61,4.25,broken clouds
79,Mount Gambier,AU,-37.8333,140.7667,60.67,73,67,6.44,broken clouds
80,Broome,US,42.2506,-75.833,41.7,84,100,19.57,overcast clouds
81,Chokurdakh,RU,70.6333,147.9167,0.09,97,100,9.71,light snow
82,Port Hedland,AU,-20.3167,118.5667,82.45,74,63,4.61,broken clouds
83,Balsas,BR,-7.5325,-46.0356,73.76,91,74,5.57,broken clouds
84,Ayan,RU,56.45,138.1667,-6.11,85,100,25.55,overcast clouds
85,Touros,BR,-5.1989,-35.4608,79.03,69,100,11.07,overcast clouds
86,Sohag,EG,26.557,31.6948,59.29,42,0,5.28,clear sky
87,Shediac,CA,46.2198,-64.5411,38.08,80,75,16.11,broken clouds
88,Katsuura,JP,35.1333,140.3,55.31,84,100,17.69,overcast clouds
89,Monrovia,LR,6.3005,-10.7969,78.91,81,24,6.64,few clouds
90,Dingle,PH,10.9995,122.6711,77.07,90,98,8.75,light rain
91,Atuona,PF,-9.8,-139.0333,77.95,74,71,14.18,light rain
92,Ahipara,NZ,-35.1667,173.1667,63.32,63,97,14.85,overcast clouds
93,Barrow,US,71.2906,-156.7887,28.42,93,100,6.91,mist
94,Amga,RU,60.8953,131.9608,-18.58,96,100,5.12,overcast clouds
95,Dodge City,US,37.7528,-100.0171,43.05,35,0,17.27,clear sky
96,Hobart,AU,-42.8794,147.3294,57.06,57,75,12.66,broken clouds
97,Jamestown,US,42.097,-79.2353,31.17,70,100,24.16,overcast clouds
98,Saskylakh,RU,71.9167,114.0833,-27.9,100,100,7.49,overcast clouds
99,Banepa,NP,27.6298,85.5214,47.21,71,3,2.98,clear sky
100,Akim Swedru,GH,5.8938,-1.0164,73.85,94,67,2.57,broken clouds
101,Dudinka,RU,69.4058,86.1778,1.11,99,100,5.68,overcast clouds
102,Vanavara,RU,60.34,102.2797,-0.26,95,100,6.06,overcast clouds
103,Texiguat,HN,13.6497,-87.0225,82.56,80,95,5.08,overcast clouds
104,Dzhebariki-Khaya,RU,62.2167,135.8,-32.31,98,100,2.24,overcast clouds
105,Westport,US,41.1415,-73.3579,59.14,89,100,26.46,overcast clouds
106,Qaanaaq,GL,77.484,-69.3632,-22.22,77,16,4.79,few clouds
107,Georgetown,MY,5.4112,100.3354,80.24,90,20,3.44,few clouds
108,Minuri,PH,16.535,121.8574,74.75,95,98,0.63,overcast clouds
109,Sola,VU,-13.8833,167.55,86.67,70,71,0.0,broken clouds
110,Pokrovsk,UA,48.282,37.1758,29.53,40,96,18.03,overcast clouds
111,Ukiah,US,39.1502,-123.2078,55.44,58,100,5.75,overcast clouds
112,Dali,CN,25.7,100.1833,46.56,91,1,3.8,clear sky
113,Concarneau,FR,47.875,-3.9225,43.83,88,9,9.55,clear sky
114,Namibe,AO,-15.1961,12.1522,69.96,75,83,7.74,broken clouds
115,Waipawa,NZ,-41.4122,175.5153,54.23,69,93,12.17,overcast clouds
116,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,14.97,broken clouds
117,Baykit,RU,61.67,96.37,1.22,96,100,4.52,overcast clouds
118,Geraldton,AU,-28.7667,114.6,68.41,68,100,6.91,overcast clouds
119,Norman Wells,CA,65.282,-126.8329,-11.16,77,100,4.61,light snow
120,Cayenne,GF,4.9333,-52.3333,78.84,83,0,2.3,clear sky
121,Shakawe,BW,-18.3667,21.85,77.11,32,33,7.38,scattered clouds
122,Butaritari,KI,3.0707,172.7902,81.41,76,15,13.13,few clouds
123,Ikwiriri,TZ,-7.9562,38.9716,72.68,97,45,1.63,light rain
124,Victoria,HK,22.2855,114.1577,62.33,80,100,18.01,overcast clouds
125,Yulara,AU,-25.2406,130.9889,77.88,19,1,11.61,clear sky
126,Sao Filipe,CV,14.8961,-24.4956,75.76,65,63,9.55,broken clouds
127,Hailey,US,43.5196,-114.3153,25.81,80,100,5.75,snow
128,Cape Town,ZA,-33.9258,18.4232,66.27,84,0,11.5,clear sky
129,Strezhevoy,RU,60.7333,77.5889,-19.73,99,6,1.16,clear sky
130,Pauini,BR,-7.7136,-66.9764,81.34,69,90,3.09,overcast clouds
131,Laguna,US,38.421,-121.4238,60.31,45,0,9.22,clear sky
132,Quzhou,CN,28.9594,118.8686,35.28,95,100,6.96,light snow
133,Sandpoint,US,48.2766,-116.5533,25.86,91,100,4.0,heavy snow
134,Tarakan,ID,3.3,117.6333,78.8,82,100,6.35,light rain
135,Marsabit,KE,2.3284,37.9899,66.65,65,100,4.88,overcast clouds
136,Prieska,ZA,-29.6641,22.7474,76.32,45,40,1.88,light rain
137,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.87,93,98,2.73,overcast clouds
138,Ancud,CL,-41.8697,-73.8203,53.22,58,16,5.97,few clouds
139,Necochea,AR,-38.5473,-58.7368,58.24,83,100,14.47,overcast clouds
140,Jaca,ES,42.569,-0.5499,33.98,91,70,4.41,broken clouds
141,Price,US,39.5994,-110.8107,34.86,25,0,3.44,clear sky
142,Torbay,CA,47.6666,-52.7314,23.4,86,0,3.44,clear sky
143,Kulhudhuffushi,MV,6.6221,73.07,81.14,68,23,1.88,light rain
144,Castro,BR,-24.7911,-50.0119,62.13,95,91,4.21,overcast clouds
145,Hilo,US,19.7297,-155.09,86.29,78,40,5.75,scattered clouds
146,Samarai,PG,-10.6167,150.6667,84.43,71,100,8.75,overcast clouds
147,Pangnirtung,CA,66.1451,-65.7125,-5.8,54,20,2.3,few clouds
148,Airai,TL,-8.9266,125.4092,65.32,83,98,0.87,overcast clouds
149,Ponta Do Sol,PT,32.6667,-17.1,67.71,76,16,3.78,few clouds
150,Esperance,AU,-33.8667,121.9,67.03,60,16,13.31,few clouds
151,Chumikan,RU,54.7183,135.315,-10.37,78,100,22.32,overcast clouds
152,Faanui,PF,-16.4833,-151.75,80.4,77,15,13.85,few clouds
153,Mitsamiouli,KM,-11.3847,43.2844,77.83,76,1,5.39,clear sky
154,Mapiripan,CO,2.8892,-72.1256,76.71,84,80,5.17,broken clouds
155,Katima Mulilo,NA,-17.5,24.2667,72.03,57,37,4.27,scattered clouds
156,Isangel,VU,-19.55,169.2667,87.91,70,100,5.75,overcast clouds
157,Puerto Narino,CO,-3.7703,-70.3831,81.75,69,63,3.04,broken clouds
158,Khatanga,RU,71.9667,102.5,-35.57,99,71,6.55,broken clouds
159,East Chicago,US,41.6392,-87.4548,27.43,62,34,18.79,scattered clouds
160,Jhanjharpur,IN,26.2667,86.2833,60.94,60,36,6.93,scattered clouds
161,Ugoofaaru,MV,5.6667,73.0,80.74,68,24,2.08,few clouds
162,Nizwa,OM,22.9333,57.5333,68.5,46,97,2.46,overcast clouds
163,Port Elizabeth,ZA,-33.918,25.5701,67.1,89,0,8.05,clear sky
164,Kaitangata,NZ,-46.2817,169.8464,60.71,54,23,12.64,few clouds
165,Arlit,NE,18.7369,7.3853,69.51,21,0,6.8,clear sky
166,Nagato,JP,34.3833,131.2,45.12,63,96,13.13,overcast clouds
167,Biltine,TD,14.5333,20.9167,74.21,20,4,7.92,clear sky
168,Pokhara,NP,28.2333,83.9833,57.81,36,0,5.06,clear sky
169,Lompoc,US,34.6391,-120.4579,62.78,79,100,13.8,overcast clouds
170,Alta Floresta,BR,-9.8756,-56.0861,72.95,89,69,2.93,broken clouds
171,Camopi,GF,3.1655,-52.3158,72.07,99,67,2.66,broken clouds
172,Flinders,AU,-34.5833,150.8552,69.19,70,95,4.0,overcast clouds
173,Kudahuvadhoo,MV,2.6708,72.8944,79.5,70,17,4.45,few clouds
174,Coquimbo,CL,-29.9533,-71.3436,65.93,68,100,10.36,overcast clouds
175,Hasaki,JP,35.7333,140.8333,52.2,76,100,20.78,overcast clouds
176,Rawatsar,IN,29.2833,74.3833,59.07,29,0,4.79,clear sky
177,Vestmannaeyjar,IS,63.4427,-20.2734,45.82,72,83,23.96,broken clouds
178,Shingu,JP,33.7333,135.9833,46.42,69,74,5.68,broken clouds
179,Kathmandu,NP,27.7167,85.3167,49.12,69,1,1.86,clear sky
180,Bandarbeyla,SO,9.4942,50.8122,77.49,83,5,16.06,light rain
181,Monterey,US,36.2505,-121.2516,61.18,11,29,2.48,scattered clouds
182,Lagoa,PT,39.05,-27.9833,61.79,75,2,6.93,clear sky
183,Dongli,CN,23.5656,116.8194,57.18,77,100,6.71,overcast clouds
184,Bogoslovka,RU,53.2084,44.8013,19.72,79,1,3.65,clear sky
185,Alofi,NU,-19.0595,-169.9187,85.89,70,40,8.05,scattered clouds
186,Provideniya,RU,64.3833,-173.3,30.31,74,0,4.47,clear sky
187,Sechura,PE,-5.5569,-80.8222,72.9,67,26,16.78,scattered clouds
188,Walvis Bay,NA,-22.9575,14.5053,61.75,82,15,5.75,few clouds
189,Okato,NZ,-39.2,173.8833,56.68,76,59,14.92,broken clouds
190,Kalmunai,LK,7.4167,81.8167,76.55,86,96,0.81,overcast clouds
191,Beroroha,MG,-21.6667,45.1667,74.79,66,63,2.46,broken clouds
192,Asnaes,DK,55.8123,11.5013,38.26,96,100,9.98,overcast clouds
193,Paamiut,GL,61.994,-49.6678,25.56,84,100,45.01,light snow
194,Ilulissat,GL,69.2167,-51.1,23.02,86,100,26.46,light snow
195,Erenhot,CN,43.6475,111.9767,1.62,68,27,10.18,scattered clouds
196,Deputatskiy,RU,69.3,139.9,-14.22,99,100,3.76,light snow
197,Oranjemund,NA,-28.55,16.4333,61.25,88,0,4.94,clear sky
198,Palhi,PH,10.6498,124.8062,78.66,88,91,7.61,overcast clouds
199,Buraydah,SA,26.326,43.975,66.65,52,61,10.42,broken clouds
200,Khromtau,KZ,50.2503,58.4347,5.47,73,28,9.6,scattered clouds
201,Opuwo,NA,-18.0607,13.84,70.95,48,38,5.57,scattered clouds
202,Kirakira,SB,-10.4544,161.9205,84.15,71,100,3.94,light rain
203,Salalah,OM,17.0151,54.0924,77.09,73,20,3.44,few clouds
204,Port Hardy,CA,50.6996,-127.4199,33.98,75,75,18.41,broken clouds
205,General Pico,AR,-35.6566,-63.7568,60.06,91,74,17.65,light rain
206,Upernavik,GL,72.7868,-56.1549,7.57,90,100,17.78,light snow
207,Ternate,ID,0.8,127.4,81.32,80,100,2.86,overcast clouds
208,Half Moon Bay,US,37.4636,-122.4286,60.89,59,0,5.75,clear sky
209,Popondetta,PG,-8.7537,148.2534,87.17,59,100,2.91,overcast clouds
210,Puerto Ayora,EC,-0.7393,-90.3518,76.96,85,65,7.0,broken clouds
211,Mahebourg,MU,-20.4081,57.7,72.25,88,40,3.44,scattered clouds
212,Okhotsk,RU,59.3833,143.3,-1.03,99,100,14.56,light snow
213,Klaksvik,FO,62.2266,-6.589,49.12,96,100,32.97,light rain
214,Lithakia,GR,37.7167,20.8333,52.97,74,100,13.11,overcast clouds
215,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,40,3.44,light rain
216,Eten,PE,-6.9081,-79.8642,71.85,73,0,21.85,clear sky
217,Batagay,RU,67.6333,134.6333,-22.77,99,100,1.86,light snow
218,Pedernales,DO,18.0384,-71.744,78.98,76,16,3.47,few clouds
219,Tingi,TZ,-11.3,35.0333,63.97,86,100,4.54,light rain
220,Xinqing,CN,48.2333,129.5,-11.87,91,80,9.46,broken clouds
221,Ridgecrest,US,35.6225,-117.6709,61.65,24,0,4.0,clear sky
222,Shenzhen,CN,22.5455,114.0683,61.84,85,100,10.96,overcast clouds
223,Srednekolymsk,RU,67.45,153.6833,-12.19,98,100,3.98,light snow
224,Cao Bang,VN,22.6667,106.25,54.64,95,100,2.82,overcast clouds
225,Avera,US,33.194,-82.5271,64.45,61,31,14.67,scattered clouds
226,Beloha,MG,-25.1667,45.05,70.03,89,100,10.78,overcast clouds
227,Gushikawa,JP,26.3544,127.8686,65.43,82,75,8.05,broken clouds
228,Najran,SA,17.4924,44.1277,57.85,40,48,2.1,scattered clouds
229,Hakui,JP,36.8833,136.7833,44.24,93,100,4.14,light rain
230,Lagunillas,VE,10.1301,-71.2595,78.01,84,16,10.56,few clouds
231,Severnyy,RU,50.677,36.5532,24.84,68,0,13.42,clear sky
232,Port Alfred,ZA,-33.5906,26.891,66.18,94,100,1.01,overcast clouds
233,Clyde River,CA,70.4692,-68.5914,-25.37,68,0,5.75,clear sky
234,King City,US,36.2127,-121.126,65.89,49,32,6.71,scattered clouds
235,Kieta,PG,-6.2167,155.6333,84.36,71,98,5.1,overcast clouds
236,Padang,ID,-0.9492,100.3543,75.25,97,100,3.49,overcast clouds
237,Kruisfontein,ZA,-34.0033,24.7314,63.88,74,16,3.15,few clouds
238,Fortuna,US,40.5982,-124.1573,53.94,73,100,17.27,overcast clouds
239,Tual,ID,-5.6667,132.75,81.36,75,100,15.86,light rain
240,Vao,NC,-22.6667,167.4833,78.46,82,82,6.35,broken clouds
241,Saint George,US,37.1041,-113.5841,58.42,24,0,3.0,clear sky
242,Salinas,US,36.6777,-121.6555,60.8,49,0,10.36,clear sky
243,Petukhovo,RU,55.0692,67.9019,3.61,80,100,10.4,overcast clouds
244,Constantine,DZ,36.365,6.6147,44.33,82,49,3.58,scattered clouds
245,Ponta Delgada,PT,37.7333,-25.6667,62.51,88,40,4.61,scattered clouds
246,Sakakah,SA,29.9697,40.2064,54.97,69,0,1.88,clear sky
247,Bara,NG,10.3744,10.7288,70.93,24,93,8.08,overcast clouds
248,Mogadishu,SO,2.0371,45.3438,79.57,76,82,13.62,broken clouds
249,Constitucion,CL,-35.3333,-72.4167,58.69,70,0,15.82,clear sky
250,Fukue,JP,32.6881,128.8419,48.58,65,91,19.93,overcast clouds
251,Namatanai,PG,-3.6667,152.4333,85.03,66,71,3.58,broken clouds
252,Yerbogachen,RU,61.2767,108.0108,-6.88,97,100,7.02,overcast clouds
253,Kamsack,CA,51.5667,-101.9009,-7.44,99,42,0.74,scattered clouds
254,Buin,CL,-33.7333,-70.75,75.52,40,0,9.93,clear sky
255,Banda Aceh,ID,5.5577,95.3222,77.61,80,100,2.66,overcast clouds
256,Antofagasta,CL,-23.65,-70.4,67.28,81,3,6.8,clear sky
257,Guerrero Negro,MX,27.9769,-114.0611,63.43,63,39,13.78,scattered clouds
258,Wasilla,US,61.5814,-149.4394,22.3,83,75,0.0,broken clouds
259,Trapani,IT,37.8333,12.6667,52.27,87,40,1.14,scattered clouds
260,Bambanglipuro,ID,-7.95,110.2833,77.72,79,100,3.11,overcast clouds
261,Sorland,NO,67.667,12.6934,39.06,77,99,13.35,overcast clouds
262,Asau,RO,46.4333,26.4,33.28,95,100,3.06,overcast clouds
263,Roma,US,43.2128,-75.4557,41.38,87,100,12.66,overcast clouds
264,Kavieng,PG,-2.5744,150.7967,83.77,68,23,2.68,few clouds
265,Killarney,IE,52.05,-9.5167,51.67,97,100,4.45,overcast clouds
266,Lorengau,PG,-2.0226,147.2712,84.63,69,96,4.0,overcast clouds
267,Dolinsk,RU,47.35,142.8,12.16,85,87,12.06,light snow
268,Hami,CN,42.8,93.45,10.56,23,89,1.59,overcast clouds
269,Nogales,MX,31.3086,-110.9422,72.97,14,0,14.07,clear sky
270,Ballina,AU,-28.8667,153.5667,61.79,99,100,18.63,light rain
271,Kisangani,CD,0.5167,25.2,67.28,99,77,1.19,broken clouds
272,Hofn,IS,64.2539,-15.2082,48.09,99,100,21.0,overcast clouds
273,Rocha,UY,-34.4833,-54.3333,69.51,85,22,13.04,few clouds
274,Pierre,US,44.3683,-100.351,25.72,53,0,8.01,clear sky
275,Warri,NG,5.5167,5.75,78.62,83,97,3.42,overcast clouds
276,Tucuman,AR,-26.8241,-65.2226,73.4,73,100,9.22,overcast clouds
277,Tortoli,IT,39.9256,9.6572,49.82,76,0,9.22,clear sky
278,College,US,64.8569,-147.8028,5.2,77,100,0.0,overcast clouds
279,Komsomolskiy,UZ,40.4272,71.7189,48.92,66,40,18.41,scattered clouds
280,Miandrivazo,MG,-19.5167,45.4667,77.16,77,54,2.59,broken clouds
281,Ifakara,TZ,-8.1333,36.6833,71.92,92,35,3.8,scattered clouds
282,Miranda,CO,3.2499,-76.2281,75.33,91,83,2.1,broken clouds
283,Yueyang,CN,29.3333,113.0919,28.89,93,100,11.7,light snow
284,Syracuse,IT,37.0881,15.2792,53.19,71,40,12.55,scattered clouds
285,Sitka,US,57.0531,-135.33,28.29,26,0,0.0,clear sky
286,Tocopilla,CL,-22.092,-70.1979,67.78,64,5,12.8,clear sky
287,Rawson,AR,-43.3002,-65.1023,64.89,48,19,25.23,few clouds
288,Nezlobnaya,RU,44.1181,43.4028,33.94,78,100,14.54,overcast clouds
289,Beira,MZ,-19.8436,34.8389,71.69,83,20,5.86,few clouds
290,Denia,ES,38.8408,0.1057,57.85,76,98,1.99,overcast clouds
291,Port Blair,IN,11.6667,92.75,80.26,84,91,6.4,overcast clouds
292,Silver City,US,32.7701,-108.2803,58.96,30,0,9.22,clear sky
293,Kampot,KH,10.6167,104.1833,77.05,87,93,1.21,overcast clouds
294,Chirongui,YT,-12.9319,45.1483,80.53,74,0,3.83,clear sky
295,San Pedro De Macoris,DO,18.4616,-69.2972,81.21,89,4,10.02,clear sky
296,Concordia,AR,-31.393,-58.0209,89.78,38,75,3.0,broken clouds
297,Nalut,LY,30.3333,10.85,50.25,49,1,6.51,clear sky
298,Saint-Joseph,RE,-21.3667,55.6167,73.78,78,43,6.62,scattered clouds
299,Ust-Koksa,RU,50.2696,85.6108,-8.45,79,5,0.89,clear sky
300,Manati,PR,18.4275,-66.4921,80.67,82,3,9.62,clear sky
301,Southbury,US,41.4815,-73.2132,58.08,78,100,13.8,mist
302,Yar-Sale,RU,66.8333,70.8333,-10.14,100,22,4.27,few clouds
303,Huarmey,PE,-10.0681,-78.1522,69.06,79,55,8.32,broken clouds
304,Sinnamary,GF,5.3833,-52.95,76.73,88,74,9.89,broken clouds
305,Tezu,IN,27.9167,96.1667,64.65,42,33,4.7,scattered clouds
306,Olutanga,PH,7.3106,122.8464,80.1,79,93,5.97,overcast clouds
307,Pisco,PE,-13.7,-76.2167,71.65,68,0,20.71,clear sky
308,Grand-Santi,GF,4.25,-54.3833,72.19,98,69,2.59,broken clouds
309,Nusaybin,TR,37.0778,41.2178,55.4,81,85,8.21,overcast clouds
310,Valdivia,CL,-39.8142,-73.2459,66.29,50,4,1.59,clear sky
311,Carnarvon,AU,-24.8667,113.6333,70.3,77,4,13.13,clear sky
312,Pouebo,NC,-20.4,164.5667,84.49,68,95,7.61,overcast clouds
313,Nyagan,RU,62.1406,65.3936,-2.22,99,95,1.95,overcast clouds
314,Muravlenko,RU,63.7898,74.523,-18.38,99,11,4.38,few clouds
315,Doha,QA,25.2867,51.5333,75.18,80,0,5.75,clear sky
316,Coria,ES,39.9879,-6.5377,46.45,95,100,5.3,overcast clouds
317,Kaohsiung,TW,22.6163,120.3133,69.75,77,75,8.05,broken clouds
318,Udomlya,RU,57.8794,34.9925,9.61,95,98,3.83,overcast clouds
319,Maneadero,MX,31.7167,-116.5667,59.11,74,11,3.0,few clouds
320,Roros,NO,62.5747,11.3842,19.24,86,100,0.0,overcast clouds
321,Strai,NO,58.2,7.9,35.64,91,75,5.75,broken clouds
322,Piacabucu,BR,-10.4056,-36.4344,75.09,89,100,10.69,light rain
323,Taltal,CL,-25.4,-70.4833,64.92,79,34,5.55,scattered clouds
324,Christchurch,NZ,-43.5333,172.6333,60.94,60,75,9.22,broken clouds
325,Thinadhoo,MV,0.5333,72.9333,80.11,68,21,5.44,few clouds
326,Inirida,CO,3.8653,-67.9239,74.5,95,96,1.77,heavy intensity rain
327,Kapoeta,SS,4.7717,33.5903,81.9,40,99,13.47,overcast clouds
328,Saint-Pierre,RE,-21.3393,55.4781,74.88,64,75,5.75,broken clouds
329,Peterongan,ID,-7.5394,112.2792,75.33,85,84,8.3,broken clouds
330,Lebane,RS,42.9239,21.7375,39.79,94,100,5.86,overcast clouds
331,Homer,US,59.6425,-151.5483,24.8,63,0,5.99,clear sky
332,Champerico,GT,14.3,-91.9167,91.94,78,14,7.47,few clouds
333,Gannan,CN,47.9147,123.5031,-12.14,81,35,7.16,scattered clouds
334,Banyo,CM,6.75,11.8167,68.2,40,100,2.21,overcast clouds
335,Liku,ID,-0.7275,119.8922,76.39,83,100,2.19,light rain
336,Katherine,AU,-14.4667,132.2667,73.72,73,99,3.44,overcast clouds
337,Rajauri,IN,33.3833,74.3,54.18,25,30,5.32,scattered clouds
338,Inhambane,MZ,-23.865,35.3833,72.14,85,21,10.31,light rain
339,Sinj,HR,43.7036,16.6394,46.29,85,75,7.25,broken clouds
340,Brae,GB,60.3964,-1.353,48.29,83,99,22.97,overcast clouds
341,Sucua,EC,-2.4667,-78.1667,81.34,65,75,6.91,moderate rain
342,Tuatapere,NZ,-46.1333,167.6833,52.72,77,92,8.57,overcast clouds
343,Jurm,AF,36.8648,70.8342,44.82,46,100,2.86,overcast clouds
344,Belaya Gora,RU,68.5333,146.4167,-16.28,100,100,1.36,overcast clouds
345,Novikovo,RU,51.1537,37.8879,25.75,57,100,11.32,overcast clouds
346,Eureka,US,40.8021,-124.1637,54.21,69,100,11.99,overcast clouds
347,Zhanaozen,KZ,43.3,52.8,27.64,32,100,11.54,overcast clouds
348,Ibra,OM,22.6906,58.5334,68.27,34,99,5.03,overcast clouds
349,Souillac,MU,-20.5167,57.5167,71.98,88,40,3.44,scattered clouds
350,Nadadores,MX,27.05,-101.6,61.48,55,75,8.05,broken clouds
